epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,559.43,0.56964,3.01518,1.01706,0.74307,0.4,0.53276,0.518,0.28691,2.26873,0.46833,0.00275006,0.000916686,0.00275006,0.000916686,0.00275006,0.000916686,0.00275006,0.000916686
55,569.212,0.29391,2.5632,0.92879,0.74307,0.4,0.53276,0.518,0.28691,2.26873,0.46833,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
56,579.468,0.30074,2.48198,0.86743,0.82984,0.4,0.57786,0.56518,0.28471,2.12854,0.46389,0.00272806,0.000909353,0.00272806,0.000909353,0.00272806,0.000909353,0.00272806,0.000909353
57,589.753,0.25095,2.49823,0.90273,0.82984,0.4,0.57786,0.56518,0.28471,2.12854,0.46389,0.00271706,0.000905687,0.00271706,0.000905687,0.00271706,0.000905687,0.00271706,0.000905687
58,601.36,0.26723,2.50075,0.93453,0.84767,0.33333,0.63373,0.61632,0.27972,1.97946,0.45633,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021
59,610.434,0.28581,2.26078,0.86973,0.84767,0.33333,0.63373,0.61632,0.27972,1.97946,0.45633,0.00269506,0.000898355,0.00269506,0.000898355,0.00269506,0.000898355,0.00269506,0.000898355
60,620.883,0.35384,2.43087,0.92169,0.58756,0.71802,0.67958,0.66957,0.27562,1.81625,0.45356,0.00268406,0.000894688,0.00268406,0.000894688,0.00268406,0.000894688,0.00268406,0.000894688
61,630.162,0.4142,2.42519,0.90663,0.58756,0.71802,0.67958,0.66957,0.27562,1.81625,0.45356,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
62,640.735,0.31363,2.30986,0.86801,0.57985,0.8,0.67848,0.67697,0.27432,1.68765,0.45786,0.00266207,0.000887356,0.00266207,0.000887356,0.00266207,0.000887356,0.00266207,0.000887356
63,650.243,0.31263,3.68446,0.91563,0.57985,0.8,0.67848,0.67697,0.27432,1.68765,0.45786,0.00265107,0.000883689,0.00265107,0.000883689,0.00265107,0.000883689,0.00265107,0.000883689
64,661.285,0.3443,2.29431,0.89441,0.56444,0.8,0.67848,0.67037,0.2727,1.56597,0.45531,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023
65,671.125,0.53213,2.40182,0.8385,0.56444,0.8,0.67848,0.67037,0.2727,1.56597,0.45531,0.00262907,0.000876357,0.00262907,0.000876357,0.00262907,0.000876357,0.00262907,0.000876357
66,681.269,0.30042,2.15849,0.90332,0.88603,0.6,0.67858,0.67047,0.26252,1.45535,0.45146,0.00261807,0.000872691,0.00261807,0.000872691,0.00261807,0.000872691,0.00261807,0.000872691
67,690.201,0.29176,2.29962,0.86603,0.88603,0.6,0.67858,0.67047,0.26252,1.45535,0.45146,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
68,700.536,0.33304,1.93761,0.91671,0.91083,0.6,0.68229,0.6716,0.26949,1.40839,0.44958,0.00259607,0.000865358,0.00259607,0.000865358,0.00259607,0.000865358,0.00259607,0.000865358
69,709.926,0.38603,2.47977,0.9543,0.91083,0.6,0.68229,0.6716,0.26949,1.40839,0.44958,0.00258507,0.000861692,0.00258507,0.000861692,0.00258507,0.000861692,0.00258507,0.000861692
70,720.536,0.22749,1.98104,0.86924,0.96292,0.6,0.68821,0.67693,0.24871,1.37087,0.44337,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025
71,729.647,0.24071,2.23188,0.93658,0.96292,0.6,0.68821,0.67693,0.24871,1.37087,0.44337,0.00256308,0.000854359,0.00256308,0.000854359,0.00256308,0.000854359,0.00256308,0.000854359
72,740.171,0.21396,2.11594,0.92327,0.97192,0.6,0.68987,0.67919,0.25903,1.42332,0.44466,0.00255208,0.000850693,0.00255208,0.000850693,0.00255208,0.000850693,0.00255208,0.000850693
73,749.214,0.41086,1.98437,0.9772,0.97192,0.6,0.68987,0.67919,0.25903,1.42332,0.44466,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
74,759.633,0.28299,1.69178,0.85809,0.9639,0.6,0.68323,0.67221,0.26224,1.482,0.44754,0.00253008,0.00084336,0.00253008,0.00084336,0.00253008,0.00084336,0.00253008,0.00084336
75,768.32,0.23631,1.78406,0.89336,0.9639,0.6,0.68323,0.67221,0.26224,1.482,0.44754,0.00251908,0.000839694,0.00251908,0.000839694,0.00251908,0.000839694,0.00251908,0.000839694
76,778.713,0.25001,1.88165,0.88768,0.91929,0.6,0.69559,0.6798,0.26846,1.60287,0.45261,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027
77,787.881,0.47869,4.46422,1.0452,0.91929,0.6,0.69559,0.6798,0.26846,1.60287,0.45261,0.00249708,0.000832361,0.00249708,0.000832361,0.00249708,0.000832361,0.00249708,0.000832361
78,798.351,0.30175,1.92962,0.83354,0.67359,0.73333,0.74206,0.72359,0.27768,1.76552,0.44785,0.00248608,0.000828695,0.00248608,0.000828695,0.00248608,0.000828695,0.00248608,0.000828695
79,807.984,0.2659,1.8882,0.89105,0.67359,0.73333,0.74206,0.72359,0.27768,1.76552,0.44785,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
80,818.513,0.27165,1.93858,0.86888,0.83297,0.73333,0.79448,0.77516,0.24693,1.68165,0.44161,0.00246409,0.000821362,0.00246409,0.000821362,0.00246409,0.000821362,0.00246409,0.000821362
81,828.209,0.30651,2.36791,0.89773,0.83297,0.73333,0.79448,0.77516,0.24693,1.68165,0.44161,0.00245309,0.000817696,0.00245309,0.000817696,0.00245309,0.000817696,0.00245309,0.000817696
82,839.34,0.32352,1.78416,0.88062,0.85498,0.73333,0.78655,0.76271,0.25974,1.60331,0.45058,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403
83,848.994,0.33678,1.46642,0.83339,0.85498,0.73333,0.78655,0.76271,0.25974,1.60331,0.45058,0.00243109,0.000810363,0.00243109,0.000810363,0.00243109,0.000810363,0.00243109,0.000810363
84,859.451,0.25808,1.90763,0.87309,0.86477,0.7624,0.82662,0.80159,0.29649,1.4157,0.45505,0.00242009,0.000806697,0.00242009,0.000806697,0.00242009,0.000806697,0.00242009,0.000806697
85,869.941,0.26056,1.8109,0.88048,0.86477,0.7624,0.82662,0.80159,0.29649,1.4157,0.45505,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
86,880.885,0.29602,1.48074,0.86735,0.90614,0.7413,0.82253,0.806,0.26987,1.29833,0.45342,0.00239809,0.000799365,0.00239809,0.000799365,0.00239809,0.000799365,0.00239809,0.000799365
87,890.845,0.28532,1.52681,0.90146,0.90614,0.7413,0.82253,0.806,0.26987,1.29833,0.45342,0.00238709,0.000795698,0.00238709,0.000795698,0.00238709,0.000795698,0.00238709,0.000795698
88,902.867,0.33448,1.53972,0.92626,0.95301,0.75467,0.82088,0.80115,0.28525,1.23428,0.45024,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032
89,913.256,0.24585,1.38578,0.86499,0.95301,0.75467,0.82088,0.80115,0.28525,1.23428,0.45024,0.0023651,0.000788366,0.0023651,0.000788366,0.0023651,0.000788366,0.0023651,0.000788366
90,927.439,0.33457,1.64608,0.8332,0.95998,0.79894,0.81941,0.81062,0.26308,1.16981,0.45572,0.0023541,0.000784699,0.0023541,0.000784699,0.0023541,0.000784699,0.0023541,0.000784699
91,938.716,0.35171,1.50001,0.92162,0.95998,0.79894,0.81941,0.81062,0.26308,1.16981,0.45572,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
92,949.893,0.52279,3.14551,1.13548,0.97589,0.8,0.81941,0.8139,0.28207,1.14312,0.46191,0.0023321,0.000777367,0.0023321,0.000777367,0.0023321,0.000777367,0.0023321,0.000777367
93,960.912,0.43301,1.44561,0.86102,0.97589,0.8,0.81941,0.8139,0.28207,1.14312,0.46191,0.0023211,0.0007737,0.0023211,0.0007737,0.0023211,0.0007737,0.0023211,0.0007737
94,972.829,0.51349,1.45651,0.96761,0.97972,0.8,0.81941,0.81015,0.28674,1.14446,0.46106,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034
95,982.019,0.40182,1.81821,0.98082,0.97972,0.8,0.81941,0.81015,0.28674,1.14446,0.46106,0.0022991,0.000766368,0.0022991,0.000766368,0.0022991,0.000766368,0.0022991,0.000766368
96,994.672,0.28319,1.97541,0.93038,0.98205,0.8,0.82014,0.81193,0.28135,1.19535,0.46203,0.0022881,0.000762702,0.0022881,0.000762702,0.0022881,0.000762702,0.0022881,0.000762702
97,1005.24,0.29342,2.34838,0.97307,0.98205,0.8,0.82014,0.81193,0.28135,1.19535,0.46203,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
98,1015.5,0.22607,1.30001,0.82971,0.98235,0.8,0.83218,0.81207,0.27439,1.20365,0.4561,0.00226611,0.000755369,0.00226611,0.000755369,0.00226611,0.000755369,0.00226611,0.000755369
99,1024.54,0.35275,1.38657,0.88285,0.98235,0.8,0.83218,0.81207,0.27439,1.20365,0.4561,0.00225511,0.000751703,0.00225511,0.000751703,0.00225511,0.000751703,0.00225511,0.000751703
100,1035.03,0.36501,1.33016,0.94725,0.97652,0.8,0.84575,0.82229,0.26443,1.2282,0.4451,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036
101,1044.64,0.3002,1.35589,0.85364,0.97652,0.8,0.84575,0.82229,0.26443,1.2282,0.4451,0.00223311,0.00074437,0.00223311,0.00074437,0.00223311,0.00074437,0.00223311,0.00074437
102,1055.18,0.34203,1.50605,0.81242,0.97216,0.8,0.84575,0.81811,0.27199,1.31829,0.4429,0.00222211,0.000740704,0.00222211,0.000740704,0.00222211,0.000740704,0.00222211,0.000740704
103,1064.41,0.21209,1.1515,0.81777,0.97216,0.8,0.84575,0.81811,0.27199,1.31829,0.4429,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
104,1074.8,0.41592,1.23669,0.88534,0.96937,0.8,0.84575,0.82434,0.25212,1.36619,0.43849,0.00220011,0.000733371,0.00220011,0.000733371,0.00220011,0.000733371,0.00220011,0.000733371
105,1084.51,0.2752,1.15535,0.90226,0.96937,0.8,0.84575,0.82434,0.25212,1.36619,0.43849,0.00218911,0.000729705,0.00218911,0.000729705,0.00218911,0.000729705,0.00218911,0.000729705
106,1096,0.24344,1.67066,0.87306,0.96057,0.8,0.84575,0.81557,0.23995,1.34304,0.43571,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038
107,1106,0.25905,1.12408,0.86876,0.96057,0.8,0.84575,0.81557,0.23995,1.34304,0.43571,0.00216712,0.000722372,0.00216712,0.000722372,0.00216712,0.000722372,0.00216712,0.000722372
108,1116.4,0.29914,1.22715,0.81352,0.96416,0.8,0.84575,0.84575,0.22913,1.29641,0.43826,0.00215612,0.000718706,0.00215612,0.000718706,0.00215612,0.000718706,0.00215612,0.000718706
109,1125.82,0.34263,1.13357,0.86792,0.96416,0.8,0.84575,0.84575,0.22913,1.29641,0.43826,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
110,1136.22,0.36869,3.11272,1.04966,0.96282,0.8,0.8705,0.8705,0.22736,1.25552,0.43531,0.00213412,0.000711373,0.00213412,0.000711373,0.00213412,0.000711373,0.00213412,0.000711373
111,1146.76,0.2802,1.07385,0.77808,0.96282,0.8,0.8705,0.8705,0.22736,1.25552,0.43531,0.00212312,0.000707707,0.00212312,0.000707707,0.00212312,0.000707707,0.00212312,0.000707707
112,1157.71,0.29303,1.95362,0.89092,0.95887,0.8,0.91722,0.9051,0.23544,1.25052,0.43419,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041
113,1167.35,0.25699,1.02713,0.83732,0.95887,0.8,0.91722,0.9051,0.23544,1.25052,0.43419,0.00210112,0.000700374,0.00210112,0.000700374,0.00210112,0.000700374,0.00210112,0.000700374
114,1178.63,0.21164,1.45309,0.77871,0.73922,0.9,0.945,0.93258,0.23934,1.17435,0.43478,0.00209012,0.000696708,0.00209012,0.000696708,0.00209012,0.000696708,0.00209012,0.000696708
115,1188.08,0.2686,1.51929,0.94163,0.73922,0.9,0.945,0.93258,0.23934,1.17435,0.43478,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
116,1198.76,0.27021,1.09051,0.9128,0.95725,0.8,0.96167,0.94841,0.23001,1.15839,0.43659,0.00206813,0.000689376,0.00206813,0.000689376,0.00206813,0.000689376,0.00206813,0.000689376
117,1208.27,0.23931,1.08626,0.79007,0.95725,0.8,0.96167,0.94841,0.23001,1.15839,0.43659,0.00205713,0.000685709,0.00205713,0.000685709,0.00205713,0.000685709,0.00205713,0.000685709
118,1218.51,0.23941,0.98327,0.88256,0.74301,0.92007,0.995,0.98006,0.22938,1.02119,0.44011,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043
119,1227.53,0.24463,1.06227,0.79958,0.74301,0.92007,0.995,0.98006,0.22938,1.02119,0.44011,0.00203513,0.000678377,0.00203513,0.000678377,0.00203513,0.000678377,0.00203513,0.000678377
120,1237.9,0.27478,1.3668,0.85666,0.725,0.94563,0.995,0.98006,0.23666,0.9453,0.44273,0.00202413,0.00067471,0.00202413,0.00067471,0.00202413,0.00067471,0.00202413,0.00067471
121,1247.14,0.27089,1.07818,0.87866,0.725,0.94563,0.995,0.98006,0.23666,0.9453,0.44273,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
122,1259,0.38943,1.22332,0.80767,0.81288,0.98984,0.995,0.995,0.22887,0.9075,0.43982,0.00200213,0.000667378,0.00200213,0.000667378,0.00200213,0.000667378,0.00200213,0.000667378
123,1270.47,0.33106,1.58198,0.94043,0.81288,0.98984,0.995,0.995,0.22887,0.9075,0.43982,0.00199113,0.000663711,0.00199113,0.000663711,0.00199113,0.000663711,0.00199113,0.000663711
